S1 Real/Imag g,S1  0-Z:0-Z,S2 Real/Imag g,S2 0-Z:0-Z
(0.0009279094968941954+0j),(0.0007503850664815409+5.2277518637393836e-05j),(0.0009279094968941954+0j),(-0.00035020445300006325-0.000844676276563792j)
(0.0009374755741817644+0j),(-6.249558287198038e-05+2.182357000245742e-05j),(0.0009374755741817644+0j),(0.00015160332301488341-0.0010930137912881603j)
(0.0009470416514693335+0j),(0.0008778058843892792+0.00025917745250894045j),(0.0009470416514693335+0j),(0.00016339420389011784-0.0016975632561742665j)
(0.0009566077287569025+0j),(0.0002300024538683734+0.0008960047002167901j),(0.0009566077287569025+0j),(-0.0005646555232111525+0.002332736594389559j)
(0.0009661738060444715+0j),(0.00023072238474575115+0.0007160181934637135j),(0.0009661738060444715+0j),(-0.0008169701358551037+0.0008201251688262055j)
(0.0009757398833320405+0j),(-0.00031136263468436125+0.0002887003983463009j),(0.0009757398833320405+0j),(-0.0006018672221885839+0.0006004622345668095j)
(0.0009853059606196096+0j),(0.00026858003218771076+0.0008457266017849924j),(0.0009853059606196096+0j),(-0.0004713709165838538+4.0627763270250215e-05j)
(0.0009948720379071786+0j),(-0.00012808888281353446-0.00019273148170032624j),(0.0009948720379071786+0j),(-0.0003590297359695092+7.379403906051859e-05j)
(0.0010044381151947477+0j),(-0.00028575861058282486+0.0005902545452076468j),(0.0010044381151947477+0j),(-0.0004984902414502494-0.0006762830082756747j)
(0.0010140041924823165+0j),(-0.00031640806636329204-7.423219732222714e-05j),(0.0010140041924823165+0j),(0.003387539009548194-0.003903833851090771j)
(0.0010235702697698856+0j),(0.0014743500598055053-0.00022260314326438629j),(0.0010235702697698856+0j),(-0.0011994832956112376+0.002810453177008478j)
(0.0010331363470574546+0j),(0.0007542370092118939+0.00037454876257716476j),(0.0010331363470574546+0j),(-0.0005877907858871309-0.00012574274265174224j)
(0.0010427024243450237+0j),(0.0006854511768222307+3.524433535677454e-05j),(0.0010427024243450237+0j),(-0.0011683872590536068+0.0003526449218151763j)
(0.0010522685016325928+0j),(0.0013783065550152251+0.000345505917446197j),(0.0010522685016325928+0j),(-0.0011771612028288435+0.0005354146041086016j)
(0.0010618345789201618+0j),(0.0007765806255682914-0.0006260224150363798j),(0.0010618345789201618+0j),(-0.0022627340870626134+0.00038955637974165966j)
(0.0010714006562077309+0j),(0.001564872855952788-0.0007032744944596096j),(0.0010714006562077309+0j),(-0.0037236376460209474+0.0013520403424100637j)
(0.0010809667334952997+0j),(-0.007459892806606895+0.003563319023125268j),(0.0010809667334952997+0j),(0.00995683536967067-0.00890566235314386j)
(0.0010905328107828688+0j),(-0.0014572809324225311+0.0003495098906165574j),(0.0010905328107828688+0j),(0.0017229196791974852-0.0008001524215831495j)
(0.0011000988880704378+0j),(0.00025636623434989507+0.0014627183502142081j),(0.0011000988880704378+0j),(0.0007618502892849446-0.0005790385459377107j)
(0.0011096649653580069+0j),(-0.00035182909563925943+0.0009405005277871968j),(0.0011096649653580069+0j),(0.0004958431738039635-0.0003077900911550207j)
(0.001119231042645576+0j),(0.0009620142768388268+0.000616418879017047j),(0.001119231042645576+0j),(0.0005535603936107083+0.00036790344550915836j)
(0.001128797119933145+0j),(5.835432516721748e-06-0.0007864067420198698j),(0.001128797119933145+0j),(4.979368439178485e-05+0.0012036747433614027j)
(0.001138363197220714+0j),(0.00037443349721309754-0.005460538313032895j),(0.001138363197220714+0j),(-0.0019946740953781603+0.0069702954546177415j)
(0.001147929274508283+0j),(-0.0014029706445609354+0.005136837373345237j),(0.001147929274508283+0j),(0.0005503502940611113-0.0044242655130178115j)
(0.001157495351795852+0j),(-0.0018248010554737717+0.003292842118305815j),(0.001157495351795852+0j),(4.603904465367342e-05-0.002396547014798503j)
(0.001167061429083421+0j),(-0.00011560305558105518+0.00335351438897313j),(0.001167061429083421+0j),(0.0009395434307655229-0.0020806860255320574j)
(0.00117662750637099+0j),(-0.0007622882344994664+0.003596970714559316j),(0.00117662750637099+0j),(0.0004978105757363725-0.0018813654649983294j)
(0.001186193583658559+0j),(0.00047891976007614727+0.004715439915545478j),(0.001186193583658559+0j),(0.0018816321631829045-0.002060418591744994j)
(0.0011957596609461281+0j),(-0.002191432527459098+0.006874554536186078j),(0.0011957596609461281+0j),(0.0026435943684161778-0.0038926315186595265j)
(0.0012053257382336972+0j),(0.0533331388412031+0.012149249254683114j),(0.0012053257382336972+0j),(-0.05104462184044143+0.007929357518318216j)
(0.0012148918155212662+0j),(0.0021741521474580336-0.0015384000377495046j),(0.0012148918155212662+0j),(-0.0018012277159115007-0.0005939480679191987j)
(0.001224457892808835+0j),(0.005514365258999678-0.001130890105890358j),(0.001224457892808835+0j),(-0.0027657715955719405-0.0005477388753943817j)
(0.0012340239700964041+0j),(0.002502095768788449+0.00014852649214502786j),(0.0012340239700964041+0j),(-0.0025742978139998546-0.001296253174194593j)
(0.0012435900473839732+0j),(0.0042328767820434595+0.001741066230854249j),(0.0012435900473839732+0j),(-0.0032000018754017056-0.0023126789289082874j)
(0.0012531561246715422+0j),(0.004005624658180409+0.0023735491689327527j),(0.0012531561246715422+0j),(-0.004628733260858489-0.005267050459894478j)
(0.0012627222019591113+0j),(0.01316140522497729+0.008741134057798812j),(0.0012627222019591113+0j),(-0.010183976662668761-0.012609831863157924j)
(0.0012722882792466804+0j),(-0.012108809584711323-0.017317973979464506j),(0.0012722882792466804+0j),(0.014433319425522846+0.015649120926038516j)
(0.0012818543565342494+0j),(-0.0020980459215641516-0.004232956920948785j),(0.0012818543565342494+0j),(0.0027120706939305493+0.003938042870188335j)
(0.0012914204338218183+0j),(-0.00205001341210761-0.0028788530768275424j),(0.0012914204338218183+0j),(0.0018317269534391537+0.0027317723932486528j)
(0.0013009865111093873+0j),(-0.0012155956386641102-0.0012777832074462785j),(0.0013009865111093873+0j),(0.0011078648851204555+0.0015263353259471607j)
(0.0013105525883969564+0j),(-0.00034299609716267003-0.0007713466556307797j),(0.0013105525883969564+0j),(0.0005198174499894162+0.0015115708646832985j)
(0.0013201186656845254+0j),(0.0003769745285863786+0.0003423799189663583j),(0.0013201186656845254+0j),(-0.0010191430674148475+0.000602718681391227j)
(0.0013296847429720945+0j),(0.016052955950666394+0.0047173110317513004j),(0.0013296847429720945+0j),(-0.014171013791795261-0.003250613707359007j)
(0.0013392508202596635+0j),(-0.0034882555820029706-0.0026964430060991483j),(0.0013392508202596635+0j),(0.0034289492096467597+0.0011942810420751586j)
(0.0013488168975472326+0j),(-0.0002658319534836686-0.0021918302375337237j),(0.0013488168975472326+0j),(0.0015027007393708899+0.0010439045724643884j)
(0.0013583829748348014+0j),(-0.001263025489847076-0.0013918600088305717j),(0.0013583829748348014+0j),(0.0014423722196281585+0.0003973982792072832j)
(0.0013679490521223705+0j),(-0.0006523453550457118-0.0009135423850646467j),(0.0013679490521223705+0j),(0.001154689705596114+0.00045726454891960327j)
(0.0013775151294099395+0j),(-0.001535536764226293-0.0006596892336609291j),(0.0013775151294099395+0j),(0.0010131838485229402+0.0004993919099003101j)
(0.0013870812066975086+0j),(-0.0011648746542743235+5.6289557480377504e-05j),(0.0013870812066975086+0j),(0.002169639807981668-0.0013501066140205796j)
(0.0013966472839850776+0j),(-0.000977257115807573-0.003910081291433958j),(0.0013966472839850776+0j),(0.0007972632933533507+0.00469658100566164j)
(0.0014062133612726467+0j),(-0.0005935643833402065-0.0007375169546698768j),(0.0014062133612726467+0j),(0.00045155129790915987+0.0005259392500828001j)
(0.0014157794385602157+0j),(-0.00011790680662201647-0.001036802336287549j),(0.0014157794385602157+0j),(0.0005787684427106797+0.00042727681879034914j)
(0.0014253455158477848+0j),(-0.0004995747169022825-0.0008242048241112664j),(0.0014253455158477848+0j),(0.0006401294445143085+0.0004471239855028609j)
(0.0014349115931353536+0j),(0.00024095480208589733-0.0008113149984544953j),(0.0014349115931353536+0j),(0.00042866915792492787-9.342764661233627e-06j)
(0.0014444776704229227+0j),(0.00015227981977298412-0.0003741188815116419j),(0.0014444776704229227+0j),(0.000708029636182672-0.0007674515039725522j)
(0.0014540437477104917+0j),(0.0002660359354173591+0.0010231667267816434j),(0.0014540437477104917+0j),(0.000546270820404188-0.0010747931017773377j)
(0.0014636098249980608+0j),(-0.000739732766597077-0.001707299077779349j),(0.0014636098249980608+0j),(-0.0003303201536263389+0.0010475984890343283j)
(0.0014731759022856299+0j),(3.254611188391061e-05-0.000919038293850345j),(0.0014731759022856299+0j),(0.0004997014323109914+0.0007937826928158977j)
(0.001482741979573199+0j),(-0.000369022931463515-0.000725895831764173j),(0.001482741979573199+0j),(0.00022038435252864748+0.0003423690219728663j)
(0.001492308056860768+0j),(-0.0005992633413356036-0.0004998105993906007j),(0.001492308056860768+0j),(0.0002481023118544067+0.0005160333311099383j)
(0.0015018741341483368+0j),(-0.0005339595128245544-0.0006903776939304029j),(0.0015018741341483368+0j),(0.00041553595573412316+0.0006010107329532997j)
(0.0015114402114359059+0j),(-0.0005698221705921193-0.0006637566376543342j),(0.0015114402114359059+0j),(0.000552475212459047+0.0006397654390506835j)
(0.001521006288723475+0j),(-9.73459617760881e-05-0.0005557114695219796j),(0.001521006288723475+0j),(0.00027419407005773155+0.0004097275744672425j)
(0.001530572366011044+0j),(-0.0005121696870191949-0.00044561951170896797j),(0.001530572366011044+0j),(0.00018494680519458648+0.000443659560211329j)
(0.001540138443298613+0j),(1.1107604432704705e-05-0.000557213019195844j),(0.001540138443298613+0j),(9.685340092233268e-05-4.486258622005607e-05j)
(0.001549704520586182+0j),(-0.0001431923178021948-0.0004708451742758381j),(0.001549704520586182+0j),(0.0002935852200920984+0.00012456581751320292j)
(0.0015592705978737511+0j),(-0.00025401781825291436-0.0005290033474743655j),(0.0015592705978737511+0j),(0.00038149068599632795+0.0007693511782201207j)
(0.00156883667516132+0j),(-0.00017873389401771266-0.00022920333441436218j),(0.00156883667516132+0j),(0.00012560249152445237+9.568340848871437e-05j)
(0.001578402752448889+0j),(4.642249362039151e-05-0.0007857145580575509j),(0.001578402752448889+0j),(-0.00017975370595627946+0.0005278380916160257j)
(0.001587968829736458+0j),(-0.0003911714206562217-0.00032274260348896973j),(0.001587968829736458+0j),(0.00047457681842317986+5.060788671210463e-05j)
(0.0015975349070240271+0j),(-0.00034888733754919615-0.000394032495930304j),(0.0015975349070240271+0j),(0.00043363468519098844+0.0002479331987213687j)
